Mix	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	Tumor
SimData1	0.0189	0.0678	0.2291	0.2256	0.0072	0.097	0.0096	0.1087	0.2039	0.0322	0
SimData10	0.00756	0.02712	0.09164	0.09024	0.00288	0.0388	0.00384	0.04348	0.08156	0.01288	0.6
SimData100	0.0317806356127123	0.0171403428068561	0.0107602152043041	0.0200404008080162	0.0195403908078162	0.0348006960139203	0.0214004280085602	0.0364407288145763	0.00172003440068801	0.00636012720254405	0.800016000320006
SimData1000	0.0410387688369349	0.00914972550823475	0.0455386338409848	0.0579282621521354	0.0281391558253252	0.0343789686309411	0.036778896633101	0.0292791216263512	0.0127196184114477	0.00506984790456286	0.699979000629981
SimData1001	0.0273594528109438	0.00609987800243995	0.0303593928121438	0.0386192276154477	0.0187596248075038	0.0229195416091678	0.0245195096098078	0.0195196096078078	0.00847983040339193	0.00337993240135197	0.799984000319994
SimData1002	0.013679863201368	0.003049969500305	0.015179848201518	0.019309806901931	0.00937990620093799	0.011459885401146	0.012259877401226	0.00975990240097599	0.004239957600424	0.001689983100169	0.899991000089999
SimData1003	0	0	0	0	0	0	0	0	0	0	1
SimData1004	0.1561	0.0347	0.0486	0.1371	0.038	0.0951	0.1165	0.1495	0.1481	0.0763	0
SimData1005	0.14049	0.03123	0.04374	0.12339	0.0342	0.08559	0.10485	0.13455	0.13329	0.06867	0.1
SimData1006	0.12488	0.02776	0.03888	0.10968	0.0304	0.07608	0.0932	0.1196	0.11848	0.06104	0.2
SimData1007	0.10927	0.02429	0.03402	0.09597	0.0266	0.06657	0.08155	0.10465	0.10367	0.05341	0.3
SimData1008	0.09366	0.02082	0.02916	0.08226	0.0228	0.05706	0.0699	0.0897	0.08886	0.04578	0.4
SimData1009	0.07805	0.01735	0.0243	0.06855	0.019	0.04755	0.05825	0.07475	0.07405	0.03815	0.5
SimData101	0.015890158901589	0.00857008570085701	0.00538005380053801	0.010020100201002	0.00977009770097701	0.01740017400174	0.01070010700107	0.018220182201822	0.000860008600086001	0.003180031800318	0.900009000090001
SimData1010	0.06244	0.01388	0.01944	0.05484	0.0152	0.03804	0.0466	0.0598	0.05924	0.03052	0.6
SimData1011	0.06244	0.01388	0.01944	0.05484	0.0152	0.03804	0.0466	0.0598	0.05924	0.03052	0.6
SimData1012	0.06244	0.01388	0.01944	0.05484	0.0152	0.03804	0.0466	0.0598	0.05924	0.03052	0.6
SimData1013	0.06244	0.01388	0.01944	0.05484	0.0152	0.03804	0.0466	0.0598	0.05924	0.03052	0.6
SimData1014	0.06244	0.01388	0.01944	0.05484	0.0152	0.03804	0.0466	0.0598	0.05924	0.03052	0.6
SimData1015	0.06244	0.01388	0.01944	0.05484	0.0152	0.03804	0.0466	0.0598	0.05924	0.03052	0.6
SimData1016	0.06244	0.01388	0.01944	0.05484	0.0152	0.03804	0.0466	0.0598	0.05924	0.03052	0.6
SimData1017	0.04683	0.01041	0.01458	0.04113	0.0114	0.02853	0.03495	0.04485	0.04443	0.02289	0.7
SimData1018	0.03122	0.00694	0.00972	0.02742	0.0076	0.01902	0.0233	0.0299	0.02962	0.01526	0.8
SimData1019	0.01561	0.00347	0.00486	0.01371	0.0038	0.00951	0.01165	0.01495	0.01481	0.00763	0.9
SimData102	0	0	0	0	0	0	0	0	0	0	1
SimData1020	0	0	0	0	0	0	0	0	0	0	1
SimData1021	0.0853085308530853	0.175117511751175	0.052005200520052	0.152615261526153	0.0633063306330633	0.265726572657266	0.0487048704870487	0.0088008800880088	0.0612061206120612	0.0872087208720872	0
SimData1022	0.076776909921893	0.157604184376594	0.0468042123791141	0.137352361712554	0.0569751277614985	0.239151523637127	0.043833945055055	0.00792071286415777	0.0550849576461882	0.0784870638357452	0.100009000810073
SimData1023	0.0682454596367709	0.140091207296584	0.0416033282662613	0.122089767181375	0.0506440515241219	0.212577006160493	0.0389631170493639	0.00704056324505961	0.0489639171133691	0.0697655812464997	0.200016001280102
SimData1024	0.0597141799925995	0.122578580500635	0.0364025481783725	0.106827477923455	0.0443131019171342	0.186003020211415	0.0340923864670527	0.00616043123018611	0.0428429990099307	0.0610442730991169	0.300021001470103
SimData1025	0.0511830709842591	0.105066303978239	0.0312018721123267	0.0915654939296358	0.0379822789367362	0.159429565773946	0.0292217533051983	0.00528031681900914	0.0367222033321999	0.0523231393883633	0.400024001440086
SimData1026	0.0426521326066303	0.087554377718886	0.0260013000650032	0.0763038151907595	0.031651582579129	0.132856642832142	0.024351217560878	0.00440022001100055	0.0306015300765038	0.0436021801090054	0.500025001250063
SimData1027	0.0341213648545942	0.0700428017120685	0.0208008320332813	0.0610424416976679	0.0253210128405136	0.106284251370055	0.0194807792311692	0.00352014080563223	0.0244809792391696	0.0348813952558102	0.600024000960038
SimData1028	0.0341213648545942	0.0700428017120685	0.0208008320332813	0.0610424416976679	0.0253210128405136	0.106284251370055	0.0194807792311692	0.00352014080563223	0.0244809792391696	0.0348813952558102	0.600024000960038
SimData1029	0.0341213648545942	0.0700428017120685	0.0208008320332813	0.0610424416976679	0.0253210128405136	0.106284251370055	0.0194807792311692	0.00352014080563223	0.0244809792391696	0.0348813952558102	0.600024000960038
SimData103	0.143	0.0456	0.1081	0.0635	0.2032	0.1118	0.1912	0.1076	0.0105	0.0155	0
SimData1030	0.0341213648545942	0.0700428017120685	0.0208008320332813	0.0610424416976679	0.0253210128405136	0.106284251370055	0.0194807792311692	0.00352014080563223	0.0244809792391696	0.0348813952558102	0.600024000960038
SimData1031	0.0341213648545942	0.0700428017120685	0.0208008320332813	0.0610424416976679	0.0253210128405136	0.106284251370055	0.0194807792311692	0.00352014080563223	0.0244809792391696	0.0348813952558102	0.600024000960038
SimData1032	0.0341213648545942	0.0700428017120685	0.0208008320332813	0.0610424416976679	0.0253210128405136	0.106284251370055	0.0194807792311692	0.00352014080563223	0.0244809792391696	0.0348813952558102	0.600024000960038
SimData1033	0.0341213648545942	0.0700428017120685	0.0208008320332813	0.0610424416976679	0.0253210128405136	0.106284251370055	0.0194807792311692	0.00352014080563223	0.0244809792391696	0.0348813952558102	0.600024000960038
SimData1034	0.0255907677230317	0.0525315759472784	0.0156004680140404	0.0457813734412032	0.0189905697170915	0.0797123913717412	0.0146104383131494	0.00264007920237607	0.0183605508165245	0.0261607848235447	0.700021000630019
SimData1035	0.0170603412068241	0.0350207004140083	0.0104002080041601	0.0305206104122082	0.0126602532050641	0.0531410628212564	0.00974019480389608	0.00176003520070401	0.0122402448048961	0.0174403488069761	0.800016000320006
SimData1036	0.00853008530085301	0.017510175101751	0.00520005200052	0.015260152601526	0.00633006330063301	0.026570265702657	0.004870048700487	0.000880008800088001	0.00612006120061201	0.00872008720087201	0.900009000090001
