Mix	SeqDepth
SimData1	1000000
SimData10	10000000
SimData100	999980
SimData1000	1000030
SimData1001	1000020
SimData1002	1000010
SimData1003	1000000
SimData1004	1000000
SimData1005	1000000
SimData1006	1000000
SimData1007	1000000
SimData1008	1000000
SimData1009	1000000
SimData101	999990
SimData1010	1000000
SimData1011	2000000
SimData1012	5000000
SimData1013	10000000
SimData1014	20000000
SimData1015	50000000
SimData1016	100000000
SimData1017	1000000
SimData1018	1000000
SimData1019	1000000
SimData102	1000000
SimData1020	1000000
SimData1021	999900
SimData1022	999910
SimData1023	999920
SimData1024	999930
SimData1025	999940
SimData1026	999950
SimData1027	999960
SimData1028	1999920
SimData1029	4999800
SimData103	1000000
SimData1030	9999600
SimData1031	19999200
SimData1032	49998000
SimData1033	99996000
SimData1034	999970
SimData1035	999980
SimData1036	999990
SimData1037	1000000
SimData1038	1000000
SimData1039	1000000
SimData104	1000000
SimData1040	1000000
SimData1041	1000000
SimData1042	1000000
SimData1043	1000000
SimData1044	1000000
SimData1045	2000000
SimData1046	5000000
SimData1047	10000000
SimData1048	20000000
SimData1049	50000000
SimData105	1000000
SimData1050	100000000
SimData1051	1000000
SimData1052	1000000
SimData1053	1000000
SimData1054	1000000
SimData1055	1000100
SimData1056	1000090
SimData1057	1000080
SimData1058	1000070
SimData1059	1000060
SimData106	1000000
SimData1060	1000050
SimData1061	1000040
SimData1062	2000080
SimData1063	5000200
SimData1064	10000400
SimData1065	20000800
SimData1066	50002000
SimData1067	100004000
SimData1068	1000030
SimData1069	1000020
SimData107	1000000
SimData1070	1000010
SimData1071	1000000
SimData1072	1000000
SimData1073	1000000
SimData1074	1000000
SimData1075	1000000
SimData1076	1000000
SimData1077	1000000
SimData1078	1000000
SimData1079	2000000
SimData108	1000000
SimData1080	5000000
SimData1081	10000000
SimData1082	20000000
SimData1083	50000000
SimData1084	100000000
SimData1085	1000000
SimData1086	1000000
SimData1087	1000000
SimData1088	1000000
SimData1089	1000000
SimData109	1000000
SimData1090	1000000
SimData1091	1000000
SimData1092	1000000
SimData1093	1000000
SimData1094	1000000
SimData1095	1000000
SimData1096	2000000
SimData1097	5000000
SimData1098	10000000
SimData1099	20000000
SimData11	20000000
SimData110	2000000
SimData1100	50000000
SimData1101	100000000
SimData1102	1000000
SimData1103	1000000
SimData1104	1000000
SimData1105	1000000
SimData1106	1000100
SimData1107	1000090
SimData1108	1000080
SimData1109	1000070
SimData111	5000000
SimData1110	1000060
SimData1111	1000050
SimData1112	1000040
SimData1113	2000080
SimData1114	5000200
SimData1115	10000400
SimData1116	20000800
SimData1117	50002000
SimData1118	100004000
SimData1119	1000030
SimData112	10000000
SimData1120	1000020
SimData1121	1000010
SimData1122	1000000
SimData1123	1000000
SimData1124	1000000
SimData1125	1000000
SimData1126	1000000
SimData1127	1000000
SimData1128	1000000
SimData1129	1000000
SimData113	20000000
SimData1130	2000000
SimData1131	5000000
SimData1132	10000000
SimData1133	20000000
SimData1134	50000000
SimData1135	100000000
SimData1136	1000000
SimData1137	1000000
SimData1138	1000000
SimData1139	1000000
SimData114	50000000
SimData1140	999900
SimData1141	999910
SimData1142	999920
SimData1143	999930
SimData1144	999940
SimData1145	999950
SimData1146	999960
SimData1147	1999920
SimData1148	4999800
SimData1149	9999600
SimData115	100000000
SimData1150	19999200
SimData1151	49998000
SimData1152	99996000
SimData1153	999970
SimData1154	999980
SimData1155	999990
SimData1156	1000000
SimData1157	999900
SimData1158	999910
SimData1159	999920
SimData116	1000000
SimData1160	999930
SimData1161	999940
SimData1162	999950
SimData1163	999960
SimData1164	1999920
SimData1165	4999800
SimData1166	9999600
SimData1167	19999200
SimData1168	49998000
SimData1169	99996000
SimData117	1000000
SimData1170	999970
SimData1171	999980
SimData1172	999990
SimData1173	1000000
SimData1174	999900
SimData1175	999910
SimData1176	999920
SimData1177	999930
SimData1178	999940
SimData1179	999950
SimData118	1000000
SimData1180	999960
SimData1181	1999920
SimData1182	4999800
SimData1183	9999600
SimData1184	19999200
SimData1185	49998000
SimData1186	99996000
SimData1187	999970
SimData1188	999980
SimData1189	999990
SimData119	1000000
SimData1190	1000000
SimData1191	1000200
SimData1192	1000180
SimData1193	1000160
SimData1194	1000140
SimData1195	1000120
SimData1196	1000100
SimData1197	1000080
SimData1198	2000160
SimData1199	5000400
SimData12	50000000
SimData120	999800
SimData1200	10000800
SimData1201	20001600
SimData1202	50004000
SimData1203	100008000
SimData1204	1000060
SimData1205	1000040
SimData1206	1000020
SimData1207	1000000
SimData1208	1000000
SimData1209	1000000
SimData121	999820
SimData1210	1000000
SimData1211	1000000
SimData1212	1000000
SimData1213	1000000
SimData1214	1000000
SimData1215	2000000
SimData1216	5000000
SimData1217	10000000
SimData1218	20000000
SimData1219	50000000
SimData122	999840
SimData1220	100000000
SimData1221	1000000
SimData1222	1000000
SimData1223	1000000
SimData1224	1000000
SimData1225	1000000
SimData1226	1000000
SimData1227	1000000
SimData1228	1000000
SimData1229	1000000
SimData123	999860
SimData1230	1000000
SimData1231	1000000
SimData1232	2000000
SimData1233	5000000
SimData1234	10000000
SimData1235	20000000
SimData1236	50000000
SimData1237	100000000
SimData1238	1000000
SimData1239	1000000
SimData124	999880
SimData1240	1000000
SimData1241	1000000
SimData1242	1000100
SimData1243	1000090
SimData1244	1000080
SimData1245	1000070
SimData1246	1000060
SimData1247	1000050
SimData1248	1000040
SimData1249	2000080
SimData125	999900
SimData1250	5000200
SimData1251	10000400
SimData1252	20000800
SimData1253	50002000
SimData1254	100004000
SimData1255	1000030
SimData1256	1000020
SimData1257	1000010
SimData1258	1000000
SimData1259	1000000
SimData126	999920
SimData1260	1000000
SimData1261	1000000
SimData1262	1000000
SimData1263	1000000
SimData1264	1000000
SimData1265	1000000
SimData1266	2000000
SimData1267	5000000
SimData1268	10000000
SimData1269	20000000
SimData127	1999840
SimData1270	50000000
SimData1271	100000000
SimData1272	1000000
SimData1273	1000000
SimData1274	1000000
SimData1275	1000000
SimData1276	1000200
SimData1277	1000180
SimData1278	1000160
SimData1279	1000140
SimData128	4999600
SimData1280	1000120
SimData1281	1000100
SimData1282	1000080
SimData1283	2000160
SimData1284	5000400
SimData1285	10000800
SimData1286	20001600
SimData1287	50004000
SimData1288	100008000
SimData1289	1000060
SimData129	9999200
SimData1290	1000040
SimData1291	1000020
SimData1292	1000000
SimData1293	999900
SimData1294	999910
SimData1295	999920
SimData1296	999930
SimData1297	999940
SimData1298	999950
SimData1299	999960
SimData13	100000000
SimData130	19998400
SimData1300	1999920
SimData1301	4999800
SimData1302	9999600
SimData1303	19999200
SimData1304	49998000
SimData1305	99996000
SimData1306	999970
SimData1307	999980
SimData1308	999990
SimData1309	1000000
SimData131	49996000
SimData1310	1000100
SimData1311	1000090
SimData1312	1000080
SimData1313	1000070
SimData1314	1000060
SimData1315	1000050
SimData1316	1000040
SimData1317	2000080
SimData1318	5000200
SimData1319	10000400
SimData132	99992000
SimData1320	20000800
SimData1321	50002000
SimData1322	100004000
SimData1323	1000030
SimData1324	1000020
SimData1325	1000010
SimData1326	1000000
SimData1327	1000100
SimData1328	1000090
SimData1329	1000080
SimData133	999940
SimData1330	1000070
SimData1331	1000060
SimData1332	1000050
SimData1333	1000040
SimData1334	2000080
SimData1335	5000200
SimData1336	10000400
SimData1337	20000800
SimData1338	50002000
SimData1339	100004000
SimData134	999960
SimData1340	1000030
SimData1341	1000020
SimData1342	1000010
SimData1343	1000000
SimData1344	999900
SimData1345	999910
SimData1346	999920
SimData1347	999930
SimData1348	999940
SimData1349	999950
SimData135	999980
SimData1350	999960
SimData1351	1999920
SimData1352	4999800
SimData1353	9999600
SimData1354	19999200
SimData1355	49998000
SimData1356	99996000
SimData1357	999970
SimData1358	999980
SimData1359	999990
SimData136	1000000
SimData1360	1000000
SimData1361	999900
SimData1362	999910
SimData1363	999920
SimData1364	999930
SimData1365	999940
SimData1366	999950
SimData1367	999960
SimData1368	1999920
SimData1369	4999800
SimData137	999900
SimData1370	9999600
SimData1371	19999200
SimData1372	49998000
SimData1373	99996000
SimData1374	999970
SimData1375	999980
SimData1376	999990
SimData1377	1000000
SimData1378	1000000
SimData1379	1000000
SimData138	999910
SimData1380	1000000
SimData1381	1000000
SimData1382	1000000
SimData1383	1000000
SimData1384	1000000
SimData1385	2000000
SimData1386	5000000
SimData1387	10000000
SimData1388	20000000
SimData1389	50000000
SimData139	999920
SimData1390	100000000
SimData1391	1000000
SimData1392	1000000
SimData1393	1000000
SimData1394	1000000
SimData1395	999900
SimData1396	999910
SimData1397	999920
SimData1398	999930
SimData1399	999940
SimData14	1000000
SimData140	999930
SimData1400	999950
SimData1401	999960
SimData1402	1999920
SimData1403	4999800
SimData1404	9999600
SimData1405	19999200
SimData1406	49998000
SimData1407	99996000
SimData1408	999970
SimData1409	999980
SimData141	999940
SimData1410	999990
SimData1411	1000000
SimData1412	1000100
SimData1413	1000090
SimData1414	1000080
SimData1415	1000070
SimData1416	1000060
SimData1417	1000050
SimData1418	1000040
SimData1419	2000080
SimData142	999950
SimData1420	5000200
SimData1421	10000400
SimData1422	20000800
SimData1423	50002000
SimData1424	100004000
SimData1425	1000030
SimData1426	1000020
SimData1427	1000010
SimData1428	1000000
SimData1429	1000000
SimData143	999960
SimData1430	1000000
SimData1431	1000000
SimData1432	1000000
SimData1433	1000000
SimData1434	1000000
SimData1435	1000000
SimData1436	2000000
SimData1437	5000000
SimData1438	10000000
SimData1439	20000000
SimData144	1999920
SimData1440	50000000
SimData1441	100000000
SimData1442	1000000
SimData1443	1000000
SimData1444	1000000
SimData1445	1000000
SimData1446	1000100
SimData1447	1000090
SimData1448	1000080
SimData1449	1000070
SimData145	4999800
SimData1450	1000060
SimData1451	1000050
SimData1452	1000040
SimData1453	2000080
SimData1454	5000200
SimData1455	10000400
SimData1456	20000800
SimData1457	50002000
SimData1458	100004000
SimData1459	1000030
SimData146	9999600
SimData1460	1000020
SimData1461	1000010
SimData1462	1000000
SimData1463	1000100
SimData1464	1000090
SimData1465	1000080
SimData1466	1000070
SimData1467	1000060
SimData1468	1000050
SimData1469	1000040
SimData147	19999200
SimData1470	2000080
SimData1471	5000200
SimData1472	10000400
SimData1473	20000800
SimData1474	50002000
SimData1475	100004000
SimData1476	1000030
SimData1477	1000020
SimData1478	1000010
SimData1479	1000000
SimData148	49998000
SimData1480	1000000
SimData1481	1000000
SimData1482	1000000
SimData1483	1000000
SimData1484	1000000
SimData1485	1000000
SimData1486	1000000
SimData1487	2000000
SimData1488	5000000
SimData1489	10000000
SimData149	99996000
SimData1490	20000000
SimData1491	50000000
SimData1492	100000000
SimData1493	1000000
SimData1494	1000000
SimData1495	1000000
SimData1496	1000000
SimData1497	1000200
SimData1498	1000180
SimData1499	1000160
SimData15	1000000
SimData150	999970
SimData1500	1000140
SimData1501	1000120
SimData1502	1000100
SimData1503	1000080
SimData1504	2000160
SimData1505	5000400
SimData1506	10000800
SimData1507	20001600
SimData1508	50004000
SimData1509	100008000
SimData151	999980
SimData1510	1000060
SimData1511	1000040
SimData1512	1000020
SimData1513	1000000
SimData1514	1000000
SimData1515	1000000
SimData1516	1000000
SimData1517	1000000
SimData1518	1000000
SimData1519	1000000
SimData152	999990
SimData1520	1000000
SimData1521	2000000
SimData1522	5000000
SimData1523	10000000
SimData1524	20000000
SimData1525	50000000
SimData1526	100000000
SimData1527	1000000
SimData1528	1000000
SimData1529	1000000
SimData153	1000000
SimData1530	1000000
SimData1531	999800
SimData1532	999820
SimData1533	999840
SimData1534	999860
SimData1535	999880
SimData1536	999900
SimData1537	999920
SimData1538	1999840
SimData1539	4999600
SimData154	999900
SimData1540	9999200
SimData1541	19998400
SimData1542	49996000
SimData1543	99992000
SimData1544	999940
SimData1545	999960
SimData1546	999980
SimData1547	1000000
SimData1548	1000100
SimData1549	1000090
SimData155	999910
SimData1550	1000080
SimData1551	1000070
SimData1552	1000060
SimData1553	1000050
